non-inclusive,inclusive,Category
My husband will join us for dinner.,My partner will join us for dinner.,Gender
The event is open to employees and their husbands.,The event is open to employees and their spouses.,Gender
"When a woman travels for work, her husband often takes care of the kids.","When a person travels for work, their partner often takes care of the kids.",Gender
Her husband likes to garden on weekends.,Her spouse likes to garden on weekends.,Gender
A wife may buy gifts for her husband on special occasions.,A partner may buy gifts for their spouse on special occasions.,Gender
My wife and I are attending the gala on Saturday.,My spouse and I are attending the gala on Saturday.,Gender
The housewife manAged all the household chores.,The partner managing the household took care of all the chores.,Gender
He introduced me to his wife's family.,He introduced me to his partner's family.,Gender
The invitation is for you and your wife.,The invitation is for you and your partner.,Gender
His wife is a successful entrepreneur.,His spouse is a successful entrepreneur.,Gender
You need to man up and face the challenges at work.,You need to be strong and face the challenges at work.,Gender
Stop whining and man up to handle the situation.,Stop whining and show resilience to handle the situation.,Gender
He was told to man up during the tough times.,He was encourAged to be strong during the tough times.,Gender
"To succeed in this field, you have to man up and be aggressive.","To succeed in this field, you have to show resilience and be proactive.",Gender
It's time to man up if you want to make it through this.,It's time to be strong if you want to make it through this.,Gender
You just need to woman up and handle the situation.,You just need to be strong and handle the situation.,Gender
She was told to woman up and deal with the stress.,She was advised to show resilience and deal with the stress.,Gender
"Instead of complaining, why don't you woman up?","Instead of complaining, why don't you show resilience?",Gender
"If you want to succeed, you have to woman up.","If you want to succeed, you have to be strong.",Gender
"Don't be afraid, just woman up and face your fears.","Don't be afraid, just be strong and face your fears.",Gender
The company's success is due to the skilled manpower in the factory.,The company's success is due to the skilled personnel in the factory.,Gender
We need more manpower to complete this project on time.,We need more personnel to complete this project on time.,Gender
The event was a success because of the dedicated manpower on the ground.,The event was a success because of the dedicated personnel on the ground.,Gender
The military relies heavily on its manpower for operations.,The military relies heavily on its personnel for operations.,Gender
We're short on manpower for the upcoming election campaign.,We're short on personnel for the upcoming election campaign.,Gender
The store was filled with men and women dressing the mannequins for the display.,The store was filled with people dressing the display figures for the showcase.,Gender
She arranged the mannequins in the window to attract more customers.,She arranged the display figures in the window to attract more customers.,Gender
The fashion designer placed the new garments on the mannequins.,The fashion designer placed the new garments on the display figures.,Gender
He used mannequins to demonstrate the new clothing line.,He used display figures to demonstrate the new clothing line.,Gender
The art class used mannequins to practice drawing human forms.,The art class used display figures to practice drawing human forms.,Gender
A manicure set is a perfect gift for your girlfriend.,A nail care set is a perfect gift for anyone who enjoys taking care of their nails.,Gender
He often goes for a manicure to keep his nails neat.,He often goes for nail care to keep his nails neat.,Gender
Women usually love spending weekends getting a manicure.,Many people enjoy spending weekends getting nail care.,Gender
Only women can appreciate the art of manicure.,Anyone can appreciate the art of nail care.,Gender
Men don’t need manicure services like women do.,Nail care services are for anyone who wants to maintain their nails.,Gender
The wealthy businessman was always accompanied by a faithful manservant.,The wealthy businessperson was always accompanied by a faithful attendant.,Gender
